statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
bloomFiltersProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildBloomFiltersTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fullReducerTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deleteDanglingTupleFromHTime,115118283,91200,18256328,117103,659644199,653486476,704172964,351617340,27877110,22426011,19277598,26025019,1852244,31127372,0,0,325765,27427343,791084995,1008069,14816368622,27396366,508793575,28914220,6173334,8254139092,89361362,288147,107246652987,14263977394,4215556,987500,55835617,1426256080,86956369,31743829,7300941716,22788597,26858,128540396,144420075,0,17254080,0,0,4479099,1220075,0,112430769,236680,136410498,7769547,7105925,5235584,60785730,1071282749,19315129642,1681339416,1815406079,23194990383,26263824557,27148542076,24933340661,3019836198,21642022661,0,0,0,4405566,156140,54174450,62449836421,12398023517,4906903153,3831735695,27510083,29242275,31490887,132514931,119371212,292530590,180720640,9194914,4926215,10002703,68510240,1270248,302930540,68408,466246532,1824465612,325316813,4114301666,34177849,26307581,33438973,332106214,260383323,294084689,1389850,1457050,27808756,353016881,273168292,483560435,428755854,702942,624637612,2907,119796728,98667094,7689680,148349824
noGoodListConstructTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buildNoGoodListTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListProbingTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evaluationMemoryCostInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSizeInBytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noGoodListSize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
